index,mean,std
2016-05-01,52.72518295643728,27.383186781161665
2016-05-02,52.51325571895426,27.32898183878753
2016-05-03,53.0255423179492,27.536597289338918
2016-05-04,53.69132734461709,27.715945474101083
2016-05-05,54.056918638131314,27.783424549033096
2016-05-06,54.34880710145695,28.34327471205718
2016-05-07,54.53447177023327,28.474997451566672
2016-05-08,54.95172710986913,28.651013744519023
2016-05-09,55.757189996674754,29.019595033628153
2016-05-10,56.49401425664607,29.675121231863553
2016-05-11,57.49777285324506,29.86771695427592
2016-05-12,58.98554986853232,30.218264591848722
2016-05-13,60.01924257714093,30.54843448145689
2016-05-14,60.809630778411965,30.96444345922039
2016-05-15,61.257477238143686,31.13902879419152
2016-05-16,61.427358738306694,31.08750614261108
2016-05-17,62.28274207285115,31.554964010702026
